Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Sussex,1,100.00%,0,0.00%,643,84.20%,121,15.80%,93,66.90%,46,33.10%,70,87.50%,10,12.50%,15,83.30%,3,16.70%,386,95.30%,19,4.70%,64,92.80%,5,7.20%,97,91.50%,9,8.50%,245,95.30%,12,4.70%,149,86.10%,24,13.90%,32,78.00%,9,22.00%,610,92.70%,48,7.30%,53,100.00%,
Thames Valley,8,88.90%,1,11.10%,989,71.60%,393,28.40%,142,70.00%,61,30.00%,91,75.80%,29,24.20%,28,80.00%,7,20.00%,817,92.40%,67,7.60%,106,92.20%,9,7.80%,201,85.20%,35,14.80%,401,95.90%,17,4.10%,338,84.70%,61,15.30%,100,87.00%,15,13.00%,998,84.70%,180,15.30%,96,100.00%,
Warwickshire,2,100.00%,0,0.00%,245,80.10%,61,19.90%,18,52.90%,16,47.10%,25,92.60%,2,7.40%,4,100.00%,0,0.00%,216,92.30%,18,7.70%,12,75.00%,4,25.00%,47,79.70%,12,20.30%,84,95.50%,4,4.50%,64,78.00%,18,22.00%,21,91.30%,2,8.70%,290,86.30%,46,13.70%,22,100.00%,
West Mercia,3,75.00%,1,25.00%,679,82.40%,145,17.60%,78,70.90%,32,29.10%,67,84.80%,12,15.20%,15,88.20%,2,11.80%,484,93.10%,36,6.90%,42,87.50%,6,12.50%,92,84.40%,17,15.60%,200,94.80%,11,5.20%,233,86.30%,37,13.70%,50,92.60%,4,7.40%,727,90.00%,81,10.00%,24,100.00%,
West Midlands,16,88.90%,2,11.10%,2133,80.80%,508,19.20%,200,70.40%,84,29.60%,204,84.60%,37,15.40%,129,74.60%,44,25.40%,1646,93.40%,116,6.60%,192,85.70%,32,14.30%,310,88.60%,40,11.40%,722,93.60%,49,6.40%,692,85.10%,121,14.90%,169,86.70%,26,13.30%,1034,86.00%,169,14.00%,212,100.00%,
West Yorkshire,19,95.00%,1,5.00%,1451,80.00%,363,20.00%,175,69.40%,77,30.60%,196,89.90%,22,10.10%,49,80.30%,12,19.70%,1035,93.60%,71,6.40%,81,90.00%,9,10.00%,285,87.20%,42,12.80%,464,94.70%,26,5.30%,340,85.90%,56,14.10%,123,91.80%,11,8.20%,961,86.60%,149,13.40%,111,100.00%,
Wiltshire,2,66.70%,1,33.30%,297,84.10%,56,15.90%,25,92.60%,2,7.40%,33,89.20%,4,10.80%,8,88.90%,1,11.10%,197,95.60%,9,4.40%,27,96.40%,1,3.60%,48,96.00%,2,4.00%,102,97.10%,3,2.90%,86,88.70%,11,11.30%,21,87.50%,3,12.50%,252,92.60%,20,7.40%,11,100.00%,
National,302,81.20%,70,18.80%,"29,551",79.00%,"7,853",21.00%,"3,056",75.10%,"1,013",24.90%,"3,376",87.10%,499,12.90%,"1,047",82.00%,230,18.00%,"19,794",92.30%,"1,648",7.70%,"2,621",87.90%,361,12.10%,"5,242",87.30%,760,12.70%,"11,005",93.60%,749,6.40%,"9,417",86.80%,"1,433",13.20%,"2,263",86.60%,349,13.40%,"20,980",85.80%,"3,471",14.20%,"2,419",100.00%,
Avon and Somerset,5,100.00%,0,0.00%,788,79.60%,202,20.40%,135,75.40%,44,24.60%,94,87.00%,14,13.00%,24,92.30%,2,7.70%,499,90.40%,53,9.60%,53,94.60%,3,5.40%,134,88.70%,17,11.30%,270,94.10%,17,5.90%,237,87.80%,33,12.20%,38,90.50%,4,9.50%,537,87.50%,77,12.50%,73,100.00%,
Bedfordshire,3,75.00%,1,25.00%,248,78.20%,69,21.80%,10,66.70%,5,33.30%,31,70.50%,13,29.50%,11,84.60%,2,15.40%,171,83.40%,34,16.60%,24,88.90%,3,11.10%,45,77.60%,13,22.40%,89,95.70%,4,4.30%,56,80.00%,14,20.00%,16,84.20%,3,15.80%,243,85.00%,43,15.00%,77,100.00%,
Cambridgeshire,3,100.00%,0,0.00%,377,84.00%,72,16.00%,24,96.00%,1,4.00%,43,93.50%,3,6.50%,8,66.70%,4,33.30%,223,92.10%,19,7.90%,28,93.30%,2,6.70%,62,93.90%,4,6.10%,90,94.70%,5,5.30%,94,88.70%,12,11.30%,18,85.70%,3,14.30%,200,96.60%,7,3.40%,50,100.00%,
Cheshire,2,100.00%,0,0.00%,752,82.10%,164,17.90%,57,64.00%,32,36.00%,54,90.00%,6,10.00%,11,68.80%,5,31.30%,461,92.20%,39,7.80%,33,94.30%,2,5.70%,108,87.80%,15,12.20%,250,96.20%,10,3.80%,302,91.80%,27,8.20%,46,97.90%,1,2.10%,548,89.70%,63,10.30%,34,100.00%,
Cleveland,3,100.00%,0,0.00%,374,76.80%,113,23.20%,20,87.00%,3,13.00%,98,84.50%,18,15.50%,15,78.90%,4,21.10%,636,93.40%,45,6.60%,50,94.30%,3,5.70%,95,87.20%,14,12.80%,181,94.80%,10,5.20%,166,88.30%,22,11.70%,40,85.10%,7,14.90%,203,86.80%,31,13.20%,35,100.00%,
Cumbria,2,100.00%,0,0.00%,271,85.50%,46,14.50%,9,81.80%,2,18.20%,10,62.50%,6,37.50%,5,83.30%,1,16.70%,254,95.10%,13,4.90%,15,93.80%,1,6.30%,56,91.80%,5,8.20%,76,97.40%,2,2.60%,94,91.30%,9,8.70%,19,90.50%,2,9.50%,247,87.90%,34,12.10%,14,100.00%,
Derbyshire,4,66.70%,2,33.30%,476,81.40%,109,18.60%,23,88.50%,3,11.50%,46,95.80%,2,4.20%,17,94.40%,1,5.60%,402,91.40%,38,8.60%,48,90.60%,5,9.40%,82,85.40%,14,14.60%,153,88.40%,20,11.60%,109,89.30%,13,10.70%,37,90.20%,4,9.80%,338,87.30%,49,12.70%,26,100.00%,
Devon and Cornwall,5,100.00%,0,0.00%,600,87.30%,87,12.70%,36,97.30%,1,2.70%,47,88.70%,6,11.30%,19,86.40%,3,13.60%,297,94.00%,19,6.00%,34,77.30%,10,22.70%,82,89.10%,10,10.90%,195,97.00%,6,3.00%,178,91.30%,17,8.70%,31,96.90%,1,3.10%,503,87.90%,69,12.10%,27,100.00%,
Dorset,3,100.00%,0,0.00%,398,86.90%,60,13.10%,43,79.60%,11,20.40%,31,88.60%,4,11.40%,13,86.70%,2,13.30%,235,94.00%,15,6.00%,32,97.00%,1,3.00%,64,94.10%,4,5.90%,122,99.20%,1,0.80%,113,93.40%,8,6.60%,17,89.50%,2,10.50%,273,88.30%,36,11.70%,31,100.00%,
Durham,3,75.00%,1,25.00%,337,78.90%,90,21.10%,22,95.70%,1,4.30%,68,79.10%,18,20.90%,13,68.40%,6,31.60%,281,92.10%,24,7.90%,30,90.90%,3,9.10%,75,85.20%,13,14.80%,47,95.90%,2,4.10%,111,81.60%,25,18.40%,17,85.00%,3,15.00%,262,94.20%,16,5.80%,15,100.00%,
Dyfed Powys,1,100.00%,0,0.00%,186,79.10%,49,20.90%,21,72.40%,8,27.60%,22,95.70%,1,4.30%,0,0,0,0,103,91.20%,10,8.80%,10,90.90%,1,9.10%,37,78.70%,10,21.30%,110,96.50%,4,3.50%,41,89.10%,5,10.90%,22,95.70%,1,4.30%,176,88.40%,23,11.60%,14,100.00%,
Essex,20,87.00%,3,13.00%,739,83.00%,151,17.00%,111,73.50%,40,26.50%,90,88.20%,12,11.80%,35,87.50%,5,12.50%,366,92.00%,32,8.00%,58,93.50%,4,6.50%,145,89.50%,17,10.50%,260,92.50%,21,7.50%,122,91.00%,12,9.00%,26,83.90%,5,16.10%,595,86.50%,93,13.50%,48,100.00%,
Gloucestershire,2,100.00%,0,0.00%,236,84.30%,44,15.70%,6,54.50%,5,45.50%,17,70.80%,7,29.20%,12,100.00%,0,0.00%,211,93.40%,15,6.60%,16,88.90%,2,11.10%,47,94.00%,3,6.00%,96,98.00%,2,2.00%,56,91.80%,5,8.20%,12,100.00%,0,0.00%,190,94.10%,12,5.90%,23,100.00%,
GreaterManchester,26,92.90%,2,7.10%,1503,81.20%,349,18.80%,262,71.80%,103,28.20%,182,93.30%,13,6.70%,59,86.80%,9,13.20%,546,95.60%,25,4.40%,88,84.60%,16,15.40%,261,92.60%,21,7.40%,288,91.70%,26,8.30%,482,88.40%,63,11.60%,95,83.30%,19,16.70%,938,83.20%,190,16.80%,63,100.00%,
Gwent,1,100.00%,0,0.00%,258,80.60%,62,19.40%,22,71.00%,9,29.00%,32,88.90%,4,11.10%,11,84.60%,2,15.40%,219,95.20%,11,4.80%,21,91.30%,2,8.70%,78,88.60%,10,11.40%,121,97.60%,3,2.40%,83,86.50%,13,13.50%,25,96.20%,1,3.80%,258,90.80%,26,9.20%,16,100.00%,
Hampshire,11,100.00%,0,0.00%,797,82.50%,169,17.50%,93,83.80%,18,16.20%,77,98.70%,1,1.30%,13,81.30%,3,18.80%,556,92.70%,44,7.30%,46,88.50%,6,11.50%,114,87.70%,16,12.30%,231,92.80%,18,7.20%,205,90.30%,22,9.70%,42,91.30%,4,8.70%,563,90.40%,60,9.60%,52,100.00%,
Hertfordshire,5,71.40%,2,28.60%,530,80.40%,129,19.60%,31,81.60%,7,18.40%,62,83.80%,12,16.20%,18,81.80%,4,18.20%,384,92.50%,31,7.50%,87,89.70%,10,10.30%,71,85.50%,12,14.50%,199,95.70%,9,4.30%,111,91.70%,10,8.30%,36,81.80%,8,18.20%,334,80.70%,80,19.30%,49,100.00%,
Humberside,1,50.00%,1,50.00%,566,85.20%,98,14.80%,54,74.00%,19,26.00%,69,83.10%,14,16.90%,15,93.80%,1,6.30%,401,95.50%,19,4.50%,41,95.30%,2,4.70%,132,93.00%,10,7.00%,165,91.20%,16,8.80%,203,91.90%,18,8.10%,28,77.80%,8,22.20%,317,86.80%,48,13.20%,33,100.00%,
Kent,12,63.20%,7,36.80%,898,78.70%,243,21.30%,78,75.00%,26,25.00%,93,90.30%,10,9.70%,28,80.00%,7,20.00%,484,92.50%,39,7.50%,110,92.40%,9,7.60%,147,88.60%,19,11.40%,258,92.10%,22,7.90%,176,85.00%,31,15.00%,71,81.60%,16,18.40%,533,89.60%,62,10.40%,85,100.00%,
Lancashire,8,88.90%,1,11.10%,760,79.70%,193,20.30%,52,91.20%,5,8.80%,123,95.30%,6,4.70%,41,93.20%,3,6.80%,662,94.80%,36,5.20%,50,89.30%,6,10.70%,173,86.50%,27,13.50%,187,92.60%,15,7.40%,295,88.90%,37,11.10%,62,88.60%,8,11.40%,684,82.10%,149,17.90%,41,100.00%,
Leicestershire,6,100.00%,0,0.00%,534,84.00%,102,16.00%,72,75.80%,23,24.20%,67,93.10%,5,6.90%,16,100.00%,0,0.00%,264,92.30%,22,7.70%,33,97.10%,1,2.90%,96,92.30%,8,7.70%,102,95.30%,5,4.70%,142,90.40%,15,9.60%,37,86.00%,6,14.00%,340,84.00%,65,16.00%,46,100.00%,
Lincolnshire,7,77.80%,2,22.20%,322,83.20%,65,16.80%,16,100.00%,0,0.00%,55,91.70%,5,8.30%,6,66.70%,3,33.30%,259,94.90%,14,5.10%,21,87.50%,3,12.50%,69,87.30%,10,12.70%,89,93.70%,6,6.30%,127,88.20%,17,11.80%,43,89.60%,5,10.40%,361,79.00%,96,21.00%,26,100.00%,
Merseyside,5,55.60%,4,44.40%,827,81.30%,190,18.70%,89,78.80%,24,21.20%,69,94.50%,4,5.50%,14,93.30%,1,6.70%,576,94.10%,36,5.90%,54,85.70%,9,14.30%,129,88.40%,17,11.60%,519,95.90%,22,4.10%,250,87.40%,36,12.60%,46,75.40%,15,24.60%,806,83.50%,159,16.50%,39,100.00%,
Metropolitan and City,49,68.10%,23,31.90%,4678,71.40%,1878,28.60%,455,70.80%,188,29.20%,523,80.60%,126,19.40%,216,74.00%,76,26.00%,2683,87.20%,394,12.80%,664,86.00%,108,14.00%,728,83.70%,142,16.30%,2913,92.10%,249,7.90%,1453,79.80%,367,20.20%,552,84.50%,101,15.50%,2985,79.90%,752,20.10%,636,100.00%,
Norfolk,2,100.00%,0,0.00%,517,87.50%,74,12.50%,28,77.80%,8,22.20%,39,88.60%,5,11.40%,21,100.00%,0,0.00%,358,94.70%,20,5.30%,35,97.20%,1,2.80%,115,93.50%,8,6.50%,187,94.00%,12,6.00%,246,91.40%,23,8.60%,38,86.40%,6,13.60%,354,94.90%,19,5.10%,28,100.00%,
Northamptonshire,2,100.00%,0,0.00%,272,77.10%,81,22.90%,3,42.90%,4,57.10%,30,88.20%,4,11.80%,10,76.90%,3,23.10%,169,89.90%,19,10.10%,41,89.10%,5,10.90%,47,72.30%,18,27.70%,73,90.10%,8,9.90%,70,87.50%,10,12.50%,18,94.70%,1,5.30%,261,86.70%,40,13.30%,32,100.00%,
Northumbria,9,90.00%,1,10.00%,758,72.30%,290,27.70%,135,68.90%,61,31.10%,133,84.20%,25,15.80%,23,79.30%,6,20.70%,859,90.80%,87,9.20%,65,84.40%,12,15.60%,178,79.50%,46,20.50%,190,88.80%,24,11.20%,403,82.60%,85,17.40%,50,83.30%,10,16.70%,600,82.60%,126,17.40%,52,100.00%,
North Wales,4,100.00%,0,0.00%,460,82.10%,100,17.90%,46,67.60%,22,32.40%,39,84.80%,7,15.20%,7,87.50%,1,12.50%,273,96.10%,11,3.90%,35,94.60%,2,5.40%,87,93.50%,6,6.50%,78,100.00%,0,0.00%,202,90.20%,22,9.80%,25,92.60%,2,7.40%,324,92.80%,25,7.20%,20,100.00%,
North Yorkshire,2,100.00%,0,0.00%,381,80.40%,93,19.60%,17,94.40%,1,5.60%,52,92.90%,4,7.10%,6,75.00%,2,25.00%,318,91.10%,31,8.90%,19,86.40%,3,13.60%,71,83.50%,14,16.50%,110,98.20%,2,1.80%,130,89.00%,16,11.00%,36,78.30%,10,21.70%,343,93.00%,26,7.00%,24,100.00%,
Nottinghamshire,9,75.00%,3,25.00%,788,81.80%,175,18.20%,131,82.90%,27,17.10%,83,89.20%,10,10.80%,42,79.20%,11,20.80%,445,92.70%,35,7.30%,89,87.30%,13,12.70%,149,87.10%,22,12.90%,325,91.80%,29,8.20%,220,87.00%,33,13.00%,48,77.40%,14,22.60%,435,91.20%,42,8.80%,56,100.00%,
South Wales,8,88.90%,1,11.10%,990,72.30%,379,27.70%,75,68.80%,34,31.20%,116,85.30%,20,14.70%,30,76.90%,9,23.10%,630,91.70%,57,8.30%,52,85.20%,9,14.80%,168,86.60%,26,13.40%,428,93.40%,30,6.60%,323,84.30%,60,15.70%,58,84.10%,11,15.90%,636,83.80%,123,16.20%,38,100.00%,
South Yorkshire,15,100.00%,0,0.00%,631,75.70%,203,24.30%,40,90.90%,4,9.10%,100,87.00%,15,13.00%,35,89.70%,4,10.30%,581,94.00%,37,6.00%,44,88.00%,6,12.00%,166,86.90%,25,13.10%,219,95.20%,11,4.80%,212,89.10%,26,10.90%,51,92.70%,4,7.30%,405,89.40%,48,10.60%,73,100.00%,
Staffordshire,5,100.00%,0,0.00%,611,78.90%,163,21.10%,73,83.90%,14,16.10%,71,89.90%,8,10.10%,11,73.30%,4,26.70%,456,92.90%,35,7.10%,34,77.30%,10,22.70%,115,81.00%,27,19.00%,244,94.90%,13,5.10%,181,91.40%,17,8.60%,48,100.00%,0,0.00%,437,85.40%,75,14.60%,46,100.00%,
Suffolk,2,100.00%,0,0.00%,286,87.70%,40,12.30%,23,92.00%,2,8.00%,28,96.60%,1,3.40%,9,90.00%,1,10.00%,156,95.70%,7,4.30%,14,87.50%,2,12.50%,52,94.50%,3,5.50%,100,94.30%,6,5.70%,94,93.10%,7,6.90%,22,88.00%,3,12.00%,212,96.40%,8,3.60%,7,100.00%,
Surrey,1,100.00%,0,0.00%,340,81.70%,76,18.30%,57,82.60%,12,17.40%,27,84.40%,5,15.60%,7,100.00%,0,0.00%,128,91.40%,12,8.60%,20,87.00%,3,13.00%,34,82.90%,7,17.10%,99,95.20%,5,4.80%,79,81.40%,18,18.60%,15,83.30%,3,16.70%,268,90.20%,29,9.80%,26,100.00%,
Sussex,1,100.00%,0,0.00%,587,79.60%,150,20.40%,65,67.00%,32,33.00%,55,98.20%,1,1.80%,8,72.70%,3,27.30%,308,91.90%,27,8.10%,67,88.20%,9,11.80%,80,87.90%,11,12.10%,240,94.10%,15,5.90%,145,87.30%,21,12.70%,24,85.70%,4,14.30%,525,90.80%,53,9.20%,32,100.00%,
Thames Valley,12,85.70%,2,14.30%,880,77.10%,261,22.90%,137,81.50%,31,18.50%,90,78.30%,25,21.70%,25,78.10%,7,21.90%,706,94.00%,45,6.00%,113,87.60%,16,12.40%,158,87.80%,22,12.20%,354,95.20%,18,4.80%,305,88.20%,41,11.80%,85,96.60%,3,3.40%,831,86.70%,128,13.30%,70,100.00%,
Warwickshire,4,100.00%,0,0.00%,227,84.10%,43,15.90%,35,89.70%,4,10.30%,35,92.10%,3,7.90%,8,88.90%,1,11.10%,183,93.80%,12,6.20%,19,82.60%,4,17.40%,41,91.10%,4,8.90%,54,94.70%,3,5.30%,70,81.40%,16,18.60%,16,94.10%,1,5.90%,249,80.30%,61,19.70%,27,100.00%,
West Mercia,2,100.00%,0,0.00%,620,81.40%,142,18.60%,65,74.70%,22,25.30%,64,92.80%,5,7.20%,11,73.30%,4,26.70%,412,92.60%,33,7.40%,29,82.90%,6,17.10%,96,84.20%,18,15.80%,157,96.30%,6,3.70%,259,91.80%,23,8.20%,35,85.40%,6,14.60%,663,90.00%,74,10.00%,25,100.00%,
West Midlands,27,71.10%,11,28.90%,2067,80.30%,507,19.70%,189,70.00%,81,30.00%,197,85.70%,33,14.30%,124,84.40%,23,15.60%,1633,94.00%,105,6.00%,186,85.30%,32,14.70%,328,91.10%,32,8.90%,680,95.00%,36,5.00%,810,85.90%,133,14.10%,222,85.40%,38,14.60%,957,84.60%,174,15.40%,186,100.00%,
West Yorkshire,8,72.70%,3,27.30%,1373,81.70%,308,18.30%,167,69.00%,75,31.00%,186,92.50%,15,7.50%,38,88.40%,5,11.60%,822,95.10%,42,4.90%,96,87.30%,14,12.70%,286,88.80%,36,11.20%,390,92.40%,32,7.60%,398,91.50%,37,8.50%,82,93.20%,6,6.80%,837,83.30%,168,16.70%,114,100.00%,
Wiltshire,2,100.00%,0,0.00%,308,90.10%,34,9.90%,29,96.70%,1,3.30%,28,90.30%,3,9.70%,12,85.70%,2,14.30%,184,96.80%,6,3.20%,17,89.50%,2,10.50%,41,91.10%,4,8.90%,66,94.30%,4,5.70%,64,82.10%,14,17.90%,14,100.00%,0,0.00%,209,94.60%,12,5.40%,10,100.00%,
National,268,83.20%,54,16.80%,"29,859",78.90%,"7,980",21.10%,"3,044",74.60%,"1,038",25.40%,"3,421",86.30%,541,13.70%,"1,094",80.90%,259,19.10%,"18,189",91.70%,"1,640",8.30%,"2,543",86.30%,403,13.70%,"5,302",87.90%,733,12.10%,"10,411",93.20%,760,6.80%,"9,557",85.70%,"1,598",14.30%,"2,195",86.40%,346,13.60%,"20,777",84.90%,"3,691",15.10%,"2,767",100.00%,
Avon and Somerset,8,72.70%,3,27.30%,790,78.60%,215,21.40%,159,75.70%,51,24.30%,97,86.60%,15,13.40%,17,77.30%,5,22.70%,440,94.00%,28,6.00%,74,92.50%,6,7.50%,147,88.60%,19,11.40%,203,93.50%,14,6.50%,232,88.50%,30,11.50%,43,82.70%,9,17.30%,528,87.00%,79,13.00%,88,100.00%,
Bedfordshire,0,-,0,-,283,81.60%,64,18.40%,15,83.30%,3,16.70%,36,85.70%,6,14.30%,21,91.30%,2,8.70%,186,91.60%,17,8.40%,26,92.90%,2,7.10%,37,86.00%,6,14.00%,68,91.90%,6,8.10%,53,79.10%,14,20.90%,16,94.10%,1,5.90%,269,77.10%,80,22.90%,59,100.00%,
Cambridgeshire,5,83.30%,1,16.70%,305,81.10%,71,18.90%,36,94.70%,2,5.30%,35,89.70%,4,10.30%,6,66.70%,3,33.30%,196,94.20%,12,5.80%,32,100.00%,0,0.00%,62,95.40%,3,4.60%,76,91.60%,7,8.40%,78,82.10%,17,17.90%,21,72.40%,8,27.60%,249,89.60%,29,10.40%,58,100.00%,
Cheshire,5,83.30%,1,16.70%,775,80.10%,192,19.90%,61,70.10%,26,29.90%,58,90.60%,6,9.40%,15,83.30%,3,16.70%,365,92.90%,28,7.10%,42,93.30%,3,6.70%,111,91.00%,11,9.00%,256,97.00%,8,3.00%,360,90.90%,36,9.10%,31,93.90%,2,6.10%,607,85.50%,103,14.50%,41,100.00%,
Cleveland,1,50.00%,1,50.00%,360,76.30%,112,23.70%,29,90.60%,3,9.40%,73,81.10%,17,18.90%,15,83.30%,3,16.70%,550,93.90%,36,6.10%,33,84.60%,6,15.40%,92,84.40%,17,15.60%,162,92.00%,14,8.00%,144,84.70%,26,15.30%,29,87.90%,4,12.10%,200,87.00%,30,13.00%,17,100.00%,
Cumbria,2,100.00%,0,0.00%,282,87.30%,41,12.70%,7,70.00%,3,30.00%,20,83.30%,4,16.70%,8,88.90%,1,11.10%,205,94.50%,12,5.50%,14,93.30%,1,6.70%,59,98.30%,1,1.70%,77,96.30%,3,3.80%,88,95.70%,4,4.30%,15,93.80%,1,6.30%,248,91.90%,22,8.10%,4,100.00%,
Derbyshire,2,100.00%,0,0.00%,503,83.70%,98,16.30%,34,89.50%,4,10.50%,59,92.20%,5,7.80%,16,100.00%,0,0.00%,375,91.00%,37,9.00%,39,95.10%,2,4.90%,114,91.20%,11,8.80%,149,91.40%,14,8.60%,156,87.60%,22,12.40%,29,82.90%,6,17.10%,305,87.90%,42,12.10%,33,100.00%,
Devon and Cornwall,9,100.00%,0,0.00%,590,84.60%,107,15.40%,28,77.80%,8,22.20%,66,93.00%,5,7.00%,13,92.90%,1,7.10%,312,95.10%,16,4.90%,30,78.90%,8,21.10%,113,94.20%,7,5.80%,172,97.70%,4,2.30%,211,91.30%,20,8.70%,26,86.70%,4,13.30%,496,90.30%,53,9.70%,39,100.00%,
Dorset,2,66.70%,1,33.30%,397,83.60%,78,16.40%,35,87.50%,5,12.50%,33,89.20%,4,10.80%,9,60.00%,6,40.00%,194,94.20%,12,5.80%,19,76.00%,6,24.00%,77,90.60%,8,9.40%,104,98.10%,2,1.90%,158,87.80%,22,12.20%,28,96.60%,1,3.40%,290,86.80%,44,13.20%,50,100.00%,
Durham,0,-,0,-,353,84.20%,66,15.80%,14,87.50%,2,12.50%,52,86.70%,8,13.30%,5,62.50%,3,37.50%,328,92.40%,27,7.60%,20,87.00%,3,13.00%,72,82.80%,15,17.20%,46,93.90%,3,6.10%,93,89.40%,11,10.60%,14,82.40%,3,17.60%,262,93.20%,19,6.80%,28,100.00%,
Dyfed Powys,2,66.70%,1,33.30%,202,81.50%,46,18.50%,10,47.60%,11,52.40%,15,88.20%,2,11.80%,1,100.00%,0,0.00%,134,95.70%,6,4.30%,5,71.40%,2,28.60%,49,92.50%,4,7.50%,100,94.30%,6,5.70%,62,86.10%,10,13.90%,13,92.90%,1,7.10%,201,90.10%,22,9.90%,22,100.00%,
Essex,9,81.80%,2,18.20%,743,80.10%,185,19.90%,119,74.40%,41,25.60%,84,84.80%,15,15.20%,23,79.30%,6,20.70%,353,93.10%,26,6.90%,58,85.30%,10,14.70%,126,85.70%,21,14.30%,193,95.10%,10,4.90%,157,87.70%,22,12.30%,39,86.70%,6,13.30%,567,77.40%,166,22.60%,65,100.00%,
Gloucestershire,5,83.30%,1,16.70%,231,84.90%,41,15.10%,7,70.00%,3,30.00%,37,84.10%,7,15.90%,5,100.00%,0,0.00%,151,93.80%,10,6.20%,15,83.30%,3,16.70%,43,95.60%,2,4.40%,74,100.00%,0,0.00%,51,83.60%,10,16.40%,7,77.80%,2,22.20%,172,92.00%,15,8.00%,23,100.00%,
GreaterManchester,19,90.50%,2,9.50%,1488,81.80%,332,18.20%,215,68.50%,99,31.50%,160,88.90%,20,11.10%,102,86.40%,16,13.60%,494,94.10%,31,5.90%,68,84.00%,13,16.00%,244,87.80%,34,12.20%,283,89.30%,34,10.70%,473,89.20%,57,10.80%,101,88.60%,13,11.40%,931,88.00%,127,12.00%,105,100.00%,
Gwent,3,100.00%,0,0.00%,275,82.10%,60,17.90%,23,74.20%,8,25.80%,41,91.10%,4,8.90%,5,45.50%,6,54.50%,267,94.00%,17,6.00%,18,94.70%,1,5.30%,59,80.80%,14,19.20%,131,97.00%,4,3.00%,104,88.90%,13,11.10%,24,92.30%,2,7.70%,202,84.50%,37,15.50%,22,100.00%,
Hampshire,2,66.70%,1,33.30%,882,82.60%,186,17.40%,93,79.50%,24,20.50%,85,86.70%,13,13.30%,24,92.30%,2,7.70%,519,93.30%,37,6.70%,57,90.50%,6,9.50%,141,87.00%,21,13.00%,175,96.20%,7,3.80%,192,87.30%,28,12.70%,41,82.00%,9,18.00%,567,89.90%,64,10.10%,69,100.00%,
Hertfordshire,4,80.00%,1,20.00%,499,77.60%,144,22.40%,29,87.90%,4,12.10%,65,89.00%,8,11.00%,13,72.20%,5,27.80%,456,94.80%,25,5.20%,69,83.10%,14,16.90%,83,87.40%,12,12.60%,173,94.50%,10,5.50%,129,84.30%,24,15.70%,29,76.30%,9,23.70%,372,81.20%,86,18.80%,51,100.00%,
Humberside,1,100.00%,0,0.00%,496,82.70%,104,17.30%,37,74.00%,13,26.00%,57,82.60%,12,17.40%,22,78.60%,6,21.40%,377,92.90%,29,7.10%,31,81.60%,7,18.40%,116,89.90%,13,10.10%,153,87.90%,21,12.10%,160,87.40%,23,12.60%,24,85.70%,4,14.30%,252,85.70%,42,14.30%,63,100.00%,
Kent,9,90.00%,1,10.00%,917,80.30%,225,19.70%,74,74.70%,25,25.30%,99,91.70%,9,8.30%,26,81.30%,6,18.80%,405,89.80%,46,10.20%,97,86.60%,15,13.40%,181,87.00%,27,13.00%,229,94.20%,14,5.80%,171,84.70%,31,15.30%,75,87.20%,11,12.80%,471,89.70%,54,10.30%,93,100.00%,
Lancashire,5,83.30%,1,16.70%,787,78.80%,212,21.20%,56,86.20%,9,13.80%,125,92.60%,10,7.40%,30,83.30%,6,16.70%,655,93.70%,44,6.30%,66,80.50%,16,19.50%,180,89.10%,22,10.90%,224,95.70%,10,4.30%,360,90.50%,38,9.50%,66,90.40%,7,9.60%,764,83.20%,154,16.80%,39,100.00%,
